IDMission;IDunique;IdCategUnique;ClueDate
0;intro_relay_perseverant;AG;2030-02-01
0;intro_relay_observe;AG;2030-02-01
1;M1_sms_o_18_ans;ALIZ;2030-02-01

1;M1_galerie_bomb;ALIZ;2030-01-22
1;M1_sms_cryp_m_bomb;ALIZ;2030-01-22

1;M1_sms_cryp_m_disparue;ALIZ;2030-01-08
1;M1_sms_concours_chant;ALIZ;2030-01-05
1;M1_mail_secte_write;ALIZ;2030-01-19
1;M1_mail_cryp_mere_rdv;ALIZ;2030-01-31
1;M1_sms_marek_application;MAREK;2030-01-01
1;M1_sms_cryp_m_baiser;MAREK;2030-01-01
1;M1_sms_Marek_parking;MAREK;2030-01-31
1;M1_SOLUTION_OU;FIN;2030-02-02
1;M1_galerie_album;MAREK;2030-01-02
1;M1_sms_pere_sacrifice;JEAN;2029-12-14
1;M1_osint_alizee_pwa;ALIZ;2029-11-01
1;M1_img_bugsy;ALIZ;2029-11-02
1;M1_mail_fac_medecine_refus;ALIZ;2029-11-01
1;M1_SOLUTION_MERE;MERE;2030-02-02
1;M1_mail_crypt_mere_contact;MERE;2030-01-12
1;M1_sms_ton_agressif;JEAN;2030-02-02
1;M1_sms_vieille_sorciere;MERE;2030-01-12
1;M1_sms_o_mere_abandon;MERE;2030-01-30
1;M1_pw_mere;MERE;2030-02-01
1;M1_osint_marek_trafic;MAREK;2030-02-01
1;M1_tel_vide_jean;JEAN;2030-02-01
1;M1_tel_vide_marek;MAREK;2030-01-30
1;M1_tel_vide_solution;MAREK;2030-01-30
1;M1_sms_marek_decouverte;MAREK;2030-01-30
1;M1_sms_marek_19jan;ALIZ;2030-01-19
1;M1_osint_jean_pw;JEAN;2029-11-19
1;M1_osint_alizee_pwpere;JEAN;2029-11-01
1;M1_mail_crypt_marek_rdv;MERE;2030-01-30
1;M1_sms_fac_medecine_ask;JEAN;2029-11-02
1;M1_mail_secte_mystere;ALIZ;2030-01-19
1;M1_sms_marek_rate_audition;ALIZ;2030-01-05
